W,H,w1,h1,w2,h2
500,375,262.0,210.0,323.0,338.0
500,375,164.0,263.0,252.0,371.0
500,375,4.0,243.0,66.0,373.0
500,375,240.0,193.0,294.0,298.0
500,375,276.0,185.0,311.0,219.0
500,333,140.0,49.0,499.0,329.0
500,375,68.0,171.0,269.0,329.0
500,375,149.0,140.0,228.0,283.0
500,375,284.0,200.0,326.0,330.0
500,375,257.0,197.0,296.0,328.0
500,333,155.0,96.0,350.0,269.0
334,500,91.0,71.0,304.0,472.0
480,364,184.0,61.0,278.0,198.0
480,364,89.0,77.0,402.0,335.0
500,375,230.0,87.0,482.0,255.0
500,375,10.0,112.0,265.0,258.0
375,500,32.0,147.0,370.0,415.0
336,500,0.0,234.0,181.0,387.0
336,500,209.0,35.0,335.0,481.0
336,500,45.0,81.0,169.0,364.0
336,500,10.0,180.0,141.0,418.0
334,500,8.0,229.0,244.0,499.0
334,500,229.0,219.0,333.0,499.0
334,500,1.0,177.0,89.0,499.0
334,500,1.0,0.0,116.0,368.0
334,500,2.0,1.0,242.0,461.0
334,500,224.0,0.0,333.0,485.0
500,335,195.0,164.0,488.0,246.0
500,333,89.0,124.0,336.0,211.0
500,375,35.0,204.0,179.0,288.0
500,375,50.0,159.0,149.0,291.0
500,375,294.0,137.0,449.0,289.0
500,281,103.0,77.0,374.0,182.0
500,281,132.0,87.0,196.0,122.0
500,281,194.0,179.0,212.0,228.0
500,281,25.0,188.0,43.0,237.0
500,366,8.0,106.0,498.0,262.0
500,366,420.0,199.0,481.0,225.0
500,366,324.0,187.0,410.0,222.0
360,500,115.0,166.0,359.0,399.0
360,500,140.0,152.0,332.0,228.0
500,375,0.0,95.0,190.0,360.0
500,375,217.0,97.0,464.0,317.0
500,375,467.0,194.0,499.0,316.0
500,375,2.0,303.0,499.0,374.0
332,500,26.0,78.0,318.0,343.0
500,375,155.0,88.0,343.0,278.0
500,333,362.0,46.0,431.0,106.0
500,333,215.0,91.0,306.0,301.0
500,333,163.0,147.0,226.0,243.0
500,335,262.0,31.0,499.0,294.0
500,335,0.0,35.0,234.0,298.0
500,333,0.0,0.0,369.0,329.0
500,333,98.0,100.0,311.0,212.0
332,500,210.0,233.0,316.0,365.0
500,333,14.0,0.0,458.0,311.0
500,333,438.0,169.0,486.0,229.0
375,500,57.0,106.0,290.0,464.0
375,500,1.0,0.0,301.0,499.0
500,375,404.0,152.0,492.0,254.0
500,375,274.0,128.0,311.0,169.0
500,375,359.0,191.0,380.0,264.0
500,375,398.0,180.0,421.0,234.0
500,375,269.0,179.0,290.0,246.0
500,375,293.0,175.0,311.0,240.0
500,375,67.0,95.0,292.0,374.0
500,375,0.0,70.0,86.0,331.0
500,375,184.0,67.0,258.0,196.0
500,375,285.0,63.0,405.0,237.0
500,375,351.0,137.0,499.0,374.0
500,375,104.0,0.0,426.0,244.0
500,375,414.0,60.0,464.0,194.0
500,333,413.0,231.0,457.0,262.0
500,333,290.0,236.0,332.0,269.0
500,333,182.0,237.0,226.0,272.0
500,333,51.0,243.0,98.0,273.0
500,333,61.0,95.0,106.0,131.0
500,333,183.0,93.0,224.0,127.0
500,334,0.0,136.0,426.0,332.0
500,334,0.0,61.0,478.0,234.0
500,334,0.0,26.0,421.0,140.0
500,334,43.0,6.0,457.0,133.0
500,334,198.0,5.0,474.0,97.0
500,333,273.0,10.0,436.0,278.0
500,333,183.0,213.0,280.0,251.0
500,375,122.0,114.0,378.0,274.0
500,375,74.0,0.0,427.0,374.0
496,500,0.0,22.0,450.0,499.0
500,335,1.0,103.0,397.0,333.0
500,375,208.0,186.0,227.0,229.0
500,375,241.0,181.0,273.0,258.0
500,375,268.0,187.0,294.0,258.0
333,500,39.0,70.0,332.0,472.0
333,500,32.0,41.0,330.0,135.0
375,500,120.0,142.0,374.0,459.0
375,500,1.0,153.0,63.0,458.0
375,500,269.0,154.0,374.0,330.0
375,500,21.0,142.0,145.0,499.0
500,333,239.0,0.0,499.0,332.0
500,333,1.0,0.0,305.0,332.0
500,419,14.0,74.0,474.0,411.0
500,419,93.0,40.0,436.0,237.0
500,333,234.0,157.0,461.0,281.0
500,333,7.0,165.0,219.0,321.0
500,333,197.0,155.0,340.0,230.0
500,333,348.0,144.0,450.0,265.0
500,333,60.0,161.0,169.0,332.0
500,333,28.0,165.0,72.0,212.0
500,333,297.0,245.0,432.0,332.0
500,333,195.0,214.0,331.0,329.0
500,333,269.0,297.0,323.0,332.0
500,333,108.0,32.0,446.0,308.0
500,333,379.0,1.0,434.0,134.0
500,333,137.0,13.0,192.0,114.0
500,333,0.0,19.0,74.0,203.0
500,333,59.0,47.0,113.0,155.0
500,333,31.0,50.0,82.0,161.0
500,374,19.0,6.0,182.0,354.0
500,374,97.0,214.0,428.0,373.0
500,374,331.0,139.0,454.0,365.0
500,374,21.0,50.0,316.0,290.0
500,375,124.0,240.0,194.0,283.0
500,375,80.0,247.0,104.0,267.0
500,375,90.0,249.0,125.0,273.0
500,339,174.0,124.0,343.0,253.0
500,339,52.0,2.0,499.0,337.0
500,323,19.0,51.0,438.0,284.0
500,323,0.0,124.0,113.0,233.0
500,375,3.0,76.0,319.0,251.0
500,333,184.0,57.0,347.0,185.0
500,333,39.0,63.0,399.0,332.0
500,375,415.0,174.0,499.0,313.0
500,375,120.0,133.0,351.0,273.0
500,333,402.0,109.0,499.0,264.0
500,333,290.0,74.0,441.0,332.0
500,333,1.0,6.0,282.0,332.0
500,375,470.0,173.0,499.0,226.0
500,375,295.0,148.0,333.0,177.0
500,375,241.0,145.0,258.0,168.0
500,254,16.0,11.0,481.0,234.0
500,375,78.0,232.0,109.0,313.0
500,375,53.0,230.0,85.0,343.0
500,375,30.0,232.0,49.0,302.0
333,500,69.0,173.0,276.0,327.0
333,500,286.0,161.0,315.0,197.0
500,332,276.0,100.0,353.0,259.0
500,333,0.0,41.0,497.0,283.0
500,375,163.0,96.0,280.0,374.0
500,400,65.0,120.0,439.0,275.0
500,375,250.0,27.0,474.0,266.0
500,375,21.0,27.0,250.0,272.0
475,480,35.0,19.0,429.0,473.0
500,375,0.0,25.0,357.0,339.0
500,375,424.0,217.0,499.0,274.0
500,375,435.0,187.0,466.0,222.0
500,375,381.0,208.0,414.0,271.0
500,375,352.0,212.0,382.0,275.0
334,500,69.0,201.0,254.0,499.0
334,500,250.0,241.0,333.0,499.0
334,500,0.0,143.0,66.0,435.0
334,500,0.0,0.0,65.0,362.0
334,500,73.0,0.0,271.0,461.0
334,500,251.0,18.0,333.0,486.0
500,375,3.0,0.0,499.0,248.0
500,333,0.0,98.0,474.0,265.0
500,333,123.0,124.0,171.0,152.0
500,333,183.0,120.0,225.0,153.0
500,421,42.0,65.0,278.0,362.0
447,500,72.0,17.0,405.0,499.0
447,500,134.0,226.0,337.0,499.0
447,500,21.0,0.0,74.0,100.0
447,500,41.0,57.0,136.0,103.0
500,371,0.0,114.0,486.0,329.0
500,332,5.0,55.0,153.0,284.0
500,332,144.0,57.0,282.0,257.0
500,332,223.0,53.0,439.0,331.0
500,332,362.0,95.0,499.0,331.0
500,401,106.0,145.0,385.0,299.0
500,401,1.0,112.0,499.0,400.0
500,423,24.0,52.0,417.0,398.0
500,375,25.0,80.0,464.0,265.0
500,333,169.0,45.0,499.0,332.0
374,500,154.0,207.0,251.0,407.0
500,333,32.0,104.0,64.0,145.0
500,333,76.0,113.0,113.0,148.0
500,333,145.0,124.0,174.0,149.0
500,333,226.0,131.0,246.0,153.0
500,333,301.0,126.0,326.0,152.0
500,333,372.0,120.0,401.0,152.0
500,333,434.0,111.0,464.0,148.0
500,333,185.0,77.0,318.0,263.0
500,333,352.0,53.0,378.0,107.0
500,333,414.0,50.0,435.0,108.0
500,333,475.0,53.0,491.0,97.0
500,333,488.0,50.0,499.0,99.0
500,375,236.0,146.0,357.0,190.0
500,375,137.0,55.0,165.0,69.0
500,375,46.0,113.0,117.0,124.0
500,375,2.0,108.0,63.0,121.0
500,333,58.0,75.0,366.0,265.0
500,333,440.0,192.0,457.0,212.0
500,375,40.0,72.0,380.0,351.0
500,375,431.0,102.0,495.0,143.0
500,375,403.0,113.0,434.0,142.0
500,375,195.0,82.0,266.0,206.0
500,333,233.0,47.0,285.0,123.0
500,333,0.0,15.0,497.0,332.0
500,390,103.0,33.0,445.0,389.0
500,390,67.0,194.0,120.0,287.0
500,375,305.0,226.0,379.0,298.0
500,375,195.0,142.0,308.0,368.0
500,432,51.0,21.0,307.0,327.0
500,432,25.0,107.0,455.0,395.0
500,375,113.0,153.0,368.0,347.0
500,375,291.0,48.0,445.0,369.0
500,386,88.0,53.0,499.0,385.0
500,333,22.0,27.0,479.0,283.0
500,333,101.0,2.0,160.0,49.0
500,333,438.0,22.0,499.0,177.0
500,333,418.0,38.0,443.0,80.0
500,333,453.0,35.0,486.0,70.0
500,333,11.0,45.0,103.0,131.0
500,375,86.0,99.0,108.0,164.0
500,375,40.0,113.0,72.0,180.0
500,375,323.0,147.0,351.0,205.0
500,375,425.0,156.0,442.0,194.0
500,375,2.0,90.0,42.0,205.0
500,375,3.0,27.0,460.0,371.0
375,500,0.0,289.0,127.0,406.0
375,500,93.0,20.0,374.0,490.0
394,480,105.0,63.0,269.0,296.0
394,480,108.0,63.0,287.0,463.0
500,333,142.0,4.0,425.0,332.0
500,375,58.0,151.0,460.0,374.0
500,375,343.0,149.0,499.0,374.0
500,375,320.0,84.0,455.0,361.0
500,375,303.0,91.0,390.0,208.0
500,375,279.0,87.0,336.0,171.0
500,375,162.0,66.0,260.0,162.0
500,375,124.0,93.0,163.0,165.0
500,375,74.0,86.0,157.0,230.0
500,375,0.0,111.0,96.0,374.0
500,375,13.0,109.0,495.0,355.0
500,375,288.0,105.0,337.0,191.0
500,375,374.0,143.0,402.0,187.0
500,375,457.0,153.0,479.0,189.0
500,375,1.0,0.0,311.0,374.0
500,375,0.0,94.0,239.0,335.0
500,375,64.0,38.0,458.0,345.0
500,375,425.0,196.0,499.0,272.0
500,375,234.0,215.0,322.0,257.0
500,375,140.0,211.0,168.0,275.0
500,375,50.0,209.0,151.0,307.0
500,375,0.0,208.0,54.0,312.0
500,375,313.0,240.0,324.0,268.0
500,375,277.0,241.0,283.0,267.0
500,375,272.0,244.0,277.0,256.0
500,375,255.0,241.0,264.0,269.0
500,375,246.0,243.0,255.0,267.0
500,375,205.0,244.0,213.0,269.0
500,375,186.0,242.0,195.0,276.0
500,375,177.0,244.0,184.0,272.0
500,375,115.0,63.0,355.0,374.0
500,375,1.0,211.0,48.0,374.0
500,375,79.0,3.0,499.0,374.0
500,375,0.0,28.0,226.0,374.0
500,375,1.0,124.0,499.0,374.0
320,224,85.0,35.0,238.0,223.0
320,224,114.0,18.0,202.0,135.0
320,224,278.0,76.0,297.0,131.0
500,335,159.0,133.0,285.0,238.0
500,249,27.0,18.0,102.0,166.0
500,249,15.0,53.0,177.0,248.0
500,249,146.0,22.0,244.0,248.0
500,249,226.0,18.0,399.0,248.0
500,249,390.0,12.0,499.0,248.0
500,249,363.0,211.0,388.0,248.0
500,249,230.0,144.0,259.0,209.0
500,333,51.0,165.0,166.0,331.0
334,500,0.0,204.0,112.0,319.0
500,375,0.0,127.0,165.0,260.0
500,375,329.0,222.0,499.0,374.0
500,375,116.0,113.0,179.0,218.0
500,375,58.0,121.0,130.0,254.0
500,375,0.0,183.0,32.0,244.0
500,375,202.0,150.0,435.0,307.0
500,375,13.0,75.0,399.0,374.0
500,374,376.0,210.0,403.0,224.0
500,374,442.0,210.0,467.0,234.0
500,374,322.0,213.0,334.0,225.0
500,374,14.0,213.0,36.0,239.0
500,375,47.0,261.0,243.0,348.0
500,375,204.0,0.0,499.0,374.0
500,468,143.0,80.0,337.0,410.0
500,333,252.0,63.0,382.0,254.0
500,333,106.0,0.0,201.0,173.0
500,333,0.0,0.0,252.0,221.0
333,500,119.0,332.0,309.0,463.0
500,375,39.0,126.0,463.0,291.0
500,375,426.0,113.0,499.0,166.0
500,375,264.0,146.0,311.0,186.0
500,332,71.0,76.0,431.0,252.0
500,375,177.0,215.0,302.0,325.0
500,375,249.0,236.0,361.0,374.0
500,375,113.0,235.0,226.0,374.0
500,375,220.0,222.0,234.0,265.0
500,375,233.0,212.0,244.0,255.0
500,375,340.0,148.0,375.0,215.0
500,375,157.0,190.0,184.0,220.0
500,375,158.0,176.0,205.0,229.0
500,375,251.0,177.0,310.0,227.0
500,375,290.0,192.0,331.0,240.0
500,375,317.0,208.0,372.0,329.0
500,375,99.0,205.0,169.0,341.0
500,375,443.0,282.0,499.0,374.0
500,375,365.0,242.0,393.0,374.0
500,375,366.0,216.0,389.0,268.0
500,375,35.0,158.0,219.0,336.0
500,375,400.0,244.0,499.0,374.0
500,333,124.0,95.0,354.0,262.0
500,333,1.0,21.0,46.0,80.0
500,333,91.0,81.0,313.0,227.0
500,375,94.0,208.0,420.0,374.0
500,375,398.0,218.0,485.0,370.0
500,375,340.0,160.0,431.0,297.0
500,375,383.0,134.0,436.0,202.0
500,375,238.0,130.0,336.0,210.0
500,375,147.0,143.0,210.0,254.0
500,375,80.0,159.0,196.0,326.0
500,375,1.0,187.0,106.0,374.0
500,375,353.0,300.0,381.0,369.0
500,375,38.0,123.0,53.0,160.0
500,375,460.0,188.0,499.0,281.0
500,375,46.0,91.0,375.0,333.0
500,375,229.0,31.0,251.0,92.0
500,375,403.0,70.0,499.0,118.0
500,375,0.0,48.0,87.0,91.0
500,375,54.0,67.0,125.0,89.0
500,375,276.0,105.0,482.0,266.0
500,375,0.0,1.0,450.0,192.0
500,375,242.0,254.0,315.0,374.0
500,375,135.0,325.0,270.0,374.0
500,375,0.0,290.0,96.0,373.0
500,375,401.0,244.0,454.0,315.0
500,375,39.0,265.0,276.0,374.0
500,375,414.0,191.0,456.0,253.0
500,375,184.0,166.0,200.0,235.0
500,381,87.0,168.0,274.0,313.0
500,375,355.0,182.0,499.0,279.0
500,375,59.0,108.0,141.0,212.0
500,375,245.0,133.0,347.0,216.0
500,333,2.0,2.0,498.0,286.0
500,333,115.0,201.0,156.0,229.0
500,375,17.0,130.0,487.0,291.0
500,375,302.0,138.0,328.0,170.0
500,375,59.0,43.0,330.0,309.0
500,333,66.0,187.0,182.0,329.0
500,333,107.0,173.0,159.0,204.0
500,333,155.0,168.0,201.0,194.0
500,333,172.0,183.0,273.0,325.0
500,333,267.0,181.0,315.0,306.0
500,333,268.0,159.0,313.0,185.0
500,333,306.0,118.0,375.0,227.0
500,333,101.0,176.0,323.0,301.0
500,375,0.0,169.0,473.0,374.0
500,375,96.0,123.0,149.0,296.0
453,500,0.0,473.0,148.0,499.0
453,500,1.0,449.0,82.0,474.0
453,500,95.0,434.0,274.0,499.0
453,500,361.0,439.0,452.0,499.0
453,500,51.0,428.0,69.0,468.0
453,500,12.0,420.0,28.0,449.0
453,500,20.0,428.0,38.0,460.0
500,343,7.0,95.0,490.0,231.0
500,375,81.0,0.0,182.0,56.0
500,375,19.0,141.0,221.0,374.0
500,375,174.0,67.0,471.0,374.0
500,362,170.0,0.0,498.0,360.0
500,362,2.0,0.0,270.0,263.0
500,196,342.0,95.0,499.0,195.0
375,500,18.0,223.0,354.0,322.0
375,500,0.0,354.0,68.0,498.0
375,500,97.0,18.0,373.0,499.0
375,500,0.0,0.0,374.0,499.0
500,333,179.0,102.0,435.0,280.0
500,333,0.0,57.0,261.0,332.0
500,332,184.0,263.0,204.0,319.0
500,332,297.0,244.0,325.0,311.0
500,332,239.0,0.0,260.0,25.0
500,332,156.0,0.0,173.0,26.0
500,332,138.0,0.0,154.0,27.0
500,332,226.0,55.0,496.0,212.0
500,332,90.0,58.0,244.0,260.0
500,332,36.0,133.0,202.0,331.0
500,332,225.0,74.0,412.0,273.0
500,332,257.0,113.0,476.0,331.0
500,323,149.0,119.0,442.0,182.0
476,480,203.0,49.0,338.0,300.0
476,480,56.0,108.0,417.0,432.0
375,500,128.0,162.0,229.0,318.0
375,500,161.0,372.0,259.0,499.0
375,500,31.0,372.0,139.0,499.0
500,375,293.0,155.0,499.0,374.0
500,375,110.0,88.0,416.0,374.0
500,374,334.0,262.0,483.0,372.0
500,374,326.0,103.0,475.0,299.0
500,374,231.0,56.0,356.0,373.0
500,374,2.0,31.0,198.0,373.0
500,374,57.0,138.0,295.0,373.0
500,375,223.0,76.0,461.0,374.0
